"M_ab","x_a_init","x_a_non","e_hat_a","x_b_init","x_b_non","e_hat_b","NPV_a_hat","NPV_b_hat","x_a_so","e_star_a","x_b_so","e_star_b","NPV_a_star","NPV_b_star","x_a_soa","e_a_star","x_b_soa","NPV_ea_star","NPV_eb_star","WTP_A","WTA_B","accept","reserve_npv_coop","reserve_npv_non","coop_npv_non","reserve_vs_non_x","reserve_vs_coop_x"
0,0.1,30.4930747922438,28.0701754385965,0.1,9.69159741458911,0,28.5652160067249,257.467774436645,68.9650895646531,45.6140350877193,17.0011985222805,17.0011985222805,2257.72261368371,0,0.202215495285029,0.1,0.0705088738212573,19.8147029099968,14.4418942492792,-8.75051309672816,257.467774436645,-266.218287533373,-2237.90791077371,-266.218287533373,1971.68962324034,-39.9119478377266,97.7455069224733
0,0.1,30.4930747922438,28.0701754385965,11.2,9.69159741458911,0,28.5652160067249,368.467774436645,68.9650895646531,45.6140350877193,17.0011985222805,17.0011985222805,3530.6913666235,0,0.202215495285029,0.1,0.0705088738212573,204.685177234429,171.659512830387,176.119961227704,368.467774436645,-192.347813208941,-3326.00618938907,-192.347813208941,3133.65837618013,-39.9119478377266,97.7455069224733
0,0.1,30.4930747922438,28.0701754385965,22.3,9.69159741458911,0,28.5652160067249,479.467774436645,68.9650895646531,45.6140350877193,17.0011985222805,17.0011985222805,3814.55353917246,0,0.202215495285029,0.1,0.0705088738212573,372.101416152574,324.513572559923,343.536200145849,479.467774436645,-135.931574290795,-3442.45212301988,-135.931574290795,3306.52054872909,-39.9119478377266,97.7455069224733
0,0.1,30.4930747922438,28.0701754385965,33.4,9.69159741458911,0,28.5652160067249,590.467774436645,68.9650895646531,45.6140350877193,17.0011985222805,17.0011985222805,3995.82623918817,0,0.202215495285029,0.1,0.0705088738212573,522.448126482352,473.100250142368,493.882910475627,590.467774436645,-96.584863961018,-3473.37811270582,-96.584863961018,3376.7932487448,-39.9119478377266,97.7455069224733
0,0.1,30.4930747922438,28.0701754385965,44.5,9.69159741458911,0,28.5652160067249,701.467774436645,68.9650895646531,45.6140350877193,17.0011985222805,17.0011985222805,4134.29627007736,0,0.202215495285029,0.1,0.0705088738212573,656.069573291744,617.505611844716,627.504357285019,701.467774436645,-73.9634171516265,-3478.22669678561,-73.9634171516265,3404.26327963399,-39.9119478377266,97.7455069224733
0,0.1,30.4930747922438,28.0701754385965,55.6,9.69159741458911,0,28.5652160067249,812.467774436645,68.9650895646531,45.6140350877193,17.0011985222805,17.0011985222805,4146.65292307269,99.8596491228071,0.202215495285029,0.1,0.0705088738212573,773.270828263438,757.80592558764,744.705612256713,812.467774436645,-67.7621621799323,-3473.24174393206,-67.7621621799323,3405.47958175213,-39.9119478377266,97.7455069224733
0,0.1,30.4930747922438,28.0701754385965,66.7,9.69159741458911,0,28.5652160067249,923.467774436645,68.9650895646531,45.6140350877193,17.0011985222805,17.0011985222805,4146.65292307269,210.859649122807,0.202215495285029,0.1,0.0705088738212573,874.318830741212,894.067926207083,845.753614734487,923.467774436645,-77.7141597021576,-3483.19374145429,-77.7141597021576,3405.47958175213,-39.9119478377266,97.7455069224733
0,0.1,30.4930747922438,28.0701754385965,77.8,9.69159741458911,0,28.5652160067249,1034.46777443664,68.9650895646531,45.6140350877193,17.0011985222805,17.0011985222805,4146.65292307269,321.859649122807,0.202215495285029,0.1,0.0705088738212573,959.443280811365,1026.34903872462,930.87806480464,1034.46777443664,-103.589709632005,-3509.06929138413,-103.589709632005,3405.47958175213,-39.9119478377266,97.7455069224733
0,0.1,30.4930747922438,28.0701754385965,88.9,9.69159741458911,0,28.5652160067249,1145.46777443664,68.9650895646531,45.6140350877193,17.0011985222805,17.0011985222805,4146.65292307269,432.859649122807,0.202215495285029,0.1,0.0705088738212573,1028.83738105721,1154.69756378608,1000.27216505049,1145.46777443664,-145.195609386156,-3550.67519113829,-145.195609386156,3405.47958175213,-39.9119478377266,97.7455069224733
0,0.1,30.4930747922438,28.0701754385965,100,9.69159741458911,0,28.5652160067249,1256.46777443664,68.9650895646531,45.6140350877193,17.0011985222805,17.0011985222805,4146.65292307269,543.859649122807,0.202215495285029,0.1,0.0705088738212573,1082.65844109423,1279.15282879534,1054.0932250875,1256.46777443664,-202.374549349141,-3607.85413110127,-202.374549349141,3405.47958175213,-39.9119478377266,97.7455069224733
0,11.2,30.4930747922438,28.0701754385965,0.1,9.69159741458911,0,276.098718014861,1607.23139780927,68.9650895646531,45.6140350877193,17.0011985222805,17.0011985222805,3532.87240879756,0,21.0400727761808,11.2,6.93553819404519,1743.96761344863,1282.04121397492,1467.86889543377,1607.23139780927,-139.362502375493,-1788.90479534893,-139.362502375493,1649.54229297343,-12.2090612366069,97.7455069224733
0,11.2,30.4930747922438,28.0701754385965,11.2,9.69159741458911,0,276.098718014861,1718.23139780927,68.9650895646531,45.6140350877193,17.0011985222805,17.0011985222805,3839.48514121996,0,21.0400727761808,11.2,6.93553819404519,1925.75032553413,1438.48689199629,1649.65160751926,1718.23139780927,-68.5797902900024,-1913.73481568583,-68.5797902900024,1845.15502539583,-12.2090612366069,97.7455069224733
0,11.2,30.4930747922438,28.0701754385965,22.3,9.69159741458911,0,276.098718014861,1829.23139780927,68.9650895646531,45.6140350877193,17.0011985222805,17.0011985222805,4035.04221090929,0,21.0400727761808,11.2,6.93553819404519,2090.38551231765,1590.64568869218,1814.28679430279,1829.23139780927,-14.9446035064732,-1944.65669859164,-14.9446035064734,1929.71209508516,-12.2090612366069,97.7455069224733
