"M_ba","x_a_init","x_a_non","e_hat_a","x_b_init","x_b_non","e_hat_b","NPV_a_hat","NPV_b_hat","x_a_so","e_star_a","x_b_so","e_star_b","NPV_a_star","NPV_b_star","x_a_soa","e_a_star","x_b_soa","NPV_ea_star","NPV_eb_star","WTP_A","WTA_B","accept","reserve_npv_coop","reserve_npv_non","coop_npv_non","reserve_vs_non_x","reserve_vs_coop_x"
0,0.1,9.69159741458911,0,0.1,30.4930747922438,28.0701754385965,257.467774436645,28.5652160067249,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,2126.39090497267,0.416167253672162,0,99.2293763040686,245.208702592726,1123.54542857888,-12.2590718439187,28.5652160067249,-40.8242878506436,-1881.18220237994,-40.8242878506437,1840.3579145293,59.4608713509079,-13.6035427442607
0,0.1,9.69159741458911,0,11.2,30.4930747922438,28.0701754385965,1607.23139780927,276.098718014861,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,3328.71342883175,0.011988,0.1,100,1365.91272243002,9555.26364459662,-241.318675379242,276.098718014861,-517.417393394104,-1962.80070640173,-517.417393394104,1445.38331300763,59.8273157931671,-13.6035427442607
0,0.1,9.69159741458911,0,22.3,30.4930747922438,28.0701754385965,1807.50722751579,399.230560954535,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,3601.09841109218,0.011988,0.1,100,1452.79897131423,12193.2858998538,-354.70825620156,399.230560954535,-753.938817156094,-2148.29943977795,-753.938817156094,1394.36062262186,59.8273157931671,-13.6035427442607
0,0.1,9.69159741458911,0,33.4,30.4930747922438,28.0701754385965,1830.92763163497,510.780153522777,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,3776.78917349514,0.011988,0.1,100,1378.6804491274,14027.8112671547,-452.247182507574,510.780153522777,-963.027336030351,-2398.10872436774,-963.027336030351,1435.08138833739,59.8273157931671,-13.6035427442607
0,0.1,9.69159741458911,0,44.5,30.4930747922438,28.0701754385965,1830.92763163497,621.780153522777,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,3908.81483419998,0.011988,0.1,100,1223.62001301324,15457.0193398832,-607.307618621728,621.780153522777,-1229.0877721445,-2685.19482118674,-1229.0877721445,1456.10704904224,59.8273157931671,-13.6035427442607
0,0.1,9.69159741458911,0,55.6,30.4930747922438,28.0701754385965,1830.92763163497,732.780153522777,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,4020.09624745509,0.011988,0.1,100,1018.69879567064,16634.8390870522,-812.228835964334,732.780153522777,-1545.00898948711,-3001.39745178445,-1545.00898948711,1456.38846229734,59.8273157931671,-13.6035427442607
0,0.1,9.69159741458911,0,66.7,30.4930747922438,28.0701754385965,1830.92763163497,843.780153522777,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,4131.09624745509,0.011988,0.1,100,779.808681951772,17638.6275758031,-1051.1189496832,843.780153522777,-1894.89910320598,-3351.28756550331,-1894.89910320598,1456.38846229734,59.8273157931671,-13.6035427442607
0,0.1,9.69159741458911,0,77.8,30.4930747922438,28.0701754385965,1830.92763163497,954.780153522777,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,4242.09624745509,0.011988,0.1,100,516.796068305044,18512.2568160086,-1314.13156332993,954.780153522777,-2268.9117168527,-3725.30017915004,-2268.9117168527,1456.38846229734,59.8273157931671,-13.6035427442607
0,0.1,9.69159741458911,0,88.9,30.4930747922438,28.0701754385965,1830.92763163497,1065.78015352278,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,4353.09624745508,0.011988,0.1,100,237.815352248555,19279.7464367126,-1593.11227938642,1065.78015352278,-2658.89243290919,-4115.28089520653,-2658.89243290919,1456.38846229734,59.8273157931671,-13.6035427442607
0,0.1,9.69159741458911,0,100,30.4930747922438,28.0701754385965,1830.92763163497,1176.78015352278,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,4464.09624745508,0,0,100,1,19881.5894155933,-1829.92763163497,1176.78015352278,-3006.70778515775,-4463.09624745508,-3006.70778515775,1456.38846229734,59.8153277931671,-13.6035427442607
0,11.2,9.69159741458911,0,0.1,30.4930747922438,28.0701754385965,368.467774436645,28.5652160067249,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,3322.66773341567,1.193472,11.2,100,-1532.49503296693,16764.9688181657,-1900.96280740357,28.5652160067249,-1929.5280234103,-4855.1627663826,-1929.5280234103,2925.6347429723,61.0087997931671,-13.6035427442607
0,11.2,9.69159741458911,0,11.2,30.4930747922438,28.0701754385965,1718.23139780927,276.098718014861,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,3616.52515335988,1.193472,11.2,100,-1516.64375108806,17412.1199364614,-3234.87514889732,276.098718014861,-3510.97386691219,-5133.16890444794,-3510.97386691219,1622.19503753575,61.0087997931671,-13.6035427442607
0,11.2,9.69159741458911,0,22.3,30.4930747922438,28.0701754385965,1918.50722751579,399.230560954535,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,3804.94294597134,1.193472,11.2,100,-1525.95312207995,17950.3418175283,-3444.46034959573,399.230560954535,-3843.69091055027,-5330.89606805129,-3843.69091055027,1487.20515750102,61.0087997931671,-13.6035427442607
0,11.2,9.69159741458911,0,33.4,30.4930747922438,28.0701754385965,1941.92763163497,510.780153522777,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,3950.96859048995,1.193472,11.2,100,-1558.24670326375,18407.9839786164,-3500.17433489872,510.780153522777,-4010.9544884215,-5509.21529375371,-4010.9544884215,1498.26080533221,61.0087997931671,-13.6035427442607
0,11.2,9.69159741458911,0,44.5,30.4930747922438,28.0701754385965,1941.92763163497,621.780153522777,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,4075.01510615657,1.193472,11.2,100,-1615.77099924508,18817.9104166101,-3557.69863088005,621.780153522777,-4179.47878440282,-5690.78610540164,-4179.47878440282,1511.30732099882,61.0087997931671,-13.6035427442607
0,11.2,9.69159741458911,0,55.6,30.4930747922438,28.0701754385965,1941.92763163497,732.780153522777,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,4186.28915326988,1.193472,11.2,100,-1667.06065113358,19130.5929354858,-3608.98828276855,732.780153522777,-4341.76843629133,-5853.34980440347,-4341.76843629133,1511.58136811214,61.0087997931671,-13.6035427442607
0,11.2,9.69159741458911,0,66.7,30.4930747922438,28.0701754385965,1941.92763163497,843.780153522777,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,4297.28915326988,1.193472,11.2,100,-1733.90955128581,19409.3120055933,-3675.83718292078,843.780153522777,-4519.61733644356,-6031.19870455569,-4519.61733644356,1511.58136811214,61.0087997931671,-13.6035427442607
0,11.2,9.69159741458911,0,77.8,30.4930747922438,28.0701754385965,1941.92763163497,954.780153522777,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,4408.28915326988,1.193472,11.2,100,-1793.38733195025,19620.1309755933,-3735.31496358522,954.780153522777,-4690.095117108,-6201.67648522014,-4690.095117108,1511.58136811214,61.0087997931671,-13.6035427442607
0,11.2,9.69159741458911,0,88.9,30.4930747922438,28.0701754385965,1941.92763163497,1065.78015352278,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,4519.28915326988,1.193472,11.2,100,-1844.39390771638,19770.5894155933,-3786.32153935135,1065.78015352278,-4852.10169287413,-6363.68306098627,-4852.10169287413,1511.58136811214,61.0087997931671,-13.6035427442607
0,11.2,9.69159741458911,0,100,30.4930747922438,28.0701754385965,1941.92763163497,1176.78015352278,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,4630.28915326988,1.193472,11.2,100,-1889.39153171638,19881.5894155933,-3831.31916335135,1176.78015352278,-5008.09931687413,-6519.68068498626,-5008.09931687413,1511.58136811214,61.0087997931671,-13.6035427442607
0,22.3,9.69159741458911,0,0.1,30.4930747922438,28.0701754385965,479.467774436645,28.5652160067249,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,3585.7926226971,2.079252,22.3,100,-3620.07306041329,17875.4421832896,-4099.54083484994,28.5652160067249,-4128.10605085666,-7205.86568311039,-4128.10605085666,3077.75963225373,61.8945797931671,-13.6035427442607
0,22.3,9.69159741458911,0,11.2,30.4930747922438,28.0701754385965,1829.23139780927,276.098718014861,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,3795.0997176238,2.079252,22.3,100,-3592.62880202353,18240.7229725814,-5421.8601998328,276.098718014861,-5697.95891784766,-7387.72851964734,-5697.95891784766,1689.76960179968,61.8945797931671,-13.6035427442607
0,22.3,9.69159741458911,0,22.3,30.4930747922438,28.0701754385965,2029.50722751579,399.230560954535,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,3959.00608710651,2.079252,22.3,100,-3590.14822734412,18574.0182841838,-5619.65545485991,399.230560954535,-6018.88601581444,-7549.15431445062,-6018.88601581444,1530.26829863619,61.8945797931671,-13.6035427442607
0,22.3,9.69159741458911,0,33.4,30.4930747922438,28.0701754385965,2052.92763163497,510.780153522777,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,4101.97919952168,2.079252,22.3,100,-3620.19928381319,18898.8318490407,-5673.12691544816,510.780153522777,-6183.90706897094,-7722.17848333487,-6183.90706897094,1538.27141436393,61.8945797931671,-13.6035427442607
0,22.3,9.69159741458911,0,44.5,30.4930747922438,28.0701754385965,2052.92763163497,621.780153522777,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,4225.90273807015,2.079252,22.3,100,-3631.23696745016,19118.3561415933,-5684.16459908513,621.780153522777,-6305.94475260791,-7857.13970552031,-6305.94475260791,1551.1949529124,61.8945797931671,-13.6035427442607
0,22.3,9.69159741458911,0,55.6,30.4930747922438,28.0701754385965,2052.92763163497,732.780153522777,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,4337.17126612331,2.079252,22.3,100,-3663.62584830422,19334.7934875933,-5716.55347993919,732.780153522777,-6449.33363346197,-8000.79711442753,-6449.33363346197,1551.46348096556,61.8945797931671,-13.6035427442607
0,22.3,9.69159741458911,0,66.7,30.4930747922438,28.0701754385965,2052.92763163497,843.780153522777,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,4448.17126612331,2.079252,22.3,100,-3716.63950851225,19548.4216455933,-5769.56714014722,843.780153522777,-6613.34729366999,-8164.81077463555,-6613.34729366999,1551.46348096556,61.8945797931671,-13.6035427442607
0,22.3,9.69159741458911,0,77.8,30.4930747922438,28.0701754385965,2052.92763163497,954.780153522777,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,4559.17126612331,2.079252,22.3,100,-3739.24011812179,19659.5894155933,-5792.16774975677,954.780153522777,-6746.94790327954,-8298.4113842451,-6746.94790327954,1551.46348096556,61.8945797931671,-13.6035427442607
0,22.3,9.69159741458911,0,88.9,30.4930747922438,28.0701754385965,2052.92763163497,1065.78015352278,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,4670.17126612331,2.079252,22.3,100,-3773.00099012179,19770.5894155933,-5825.92862175677,1065.78015352278,-6891.70877527954,-8443.1722562451,-6891.70877527954,1551.46348096556,61.8945797931671,-13.6035427442607
0,22.3,9.69159741458911,0,100,30.4930747922438,28.0701754385965,2052.92763163497,1176.78015352278,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,4781.17126612331,2.079252,22.3,100,-3817.99861412179,19881.5894155933,-5870.92624575677,1176.78015352278,-7047.70639927954,-8599.1698802451,-7047.70639927954,1551.46348096556,61.8945797931671,-13.6035427442607
0,33.4,9.69159741458911,0,0.1,30.4930747922438,28.0701754385965,590.467774436645,28.5652160067249,13.2905647312861,13.2905647312861,67.4131191319614,45.6140350877193,0,3747.57124092359,2.669328,33.4,100,-5662.20639832152,18273.2032722338,-6252.67417275816,28.5652160067249,-6281.23938876489,-9409.77763924511,-6281.23938876489,3128.53825048022,62.4846557931671,-13.6035427442607
