"D_ba","x_a_init","x_a_non","e_hat_a","x_b_init","x_b_non","e_hat_b","NPV_a_hat","NPV_b_hat","x_a_so","e_star_a","x_b_so","e_star_b","NPV_a_star","NPV_b_star","x_a_soa","e_a_star","x_b_soa","NPV_ea_star","NPV_eb_star","WTP_A","WTA_B","accept","reserve_npv_coop","reserve_npv_non","coop_npv_non","reserve_vs_non_x","reserve_vs_coop_x"
0,0.1,33.4127423822715,23.6842105263158,0.1,42.404432132964,28.9473684210526,961.05771921515,1355.40728114035,57.5216989843029,45.6140350877193,63.4755309325947,45.6140350877193,1068.55438845809,1673.80901050636,13.3333333333333,0,66.6666666666667,973.110694333748,5120.52683278838,12.0529751185985,1355.40728114035,-1343.35430602175,-1769.2527046307,-1343.35430602175,425.898398608954,4.18282548476452,39.2262234533703
0,0.1,33.4127423822715,23.6842105263158,11.2,42.404432132964,28.9473684210526,1461.38187559,2131.49545544103,57.5216989843029,45.6140350877193,63.4755309325947,45.6140350877193,1640.49179413141,2614.46219101743,13.4772601936212,0.1,66.7465409681062,1993.51809057461,10468.5824125973,532.136214984616,2131.49545544103,-1599.35924045641,-2261.43589457423,-1599.35924045641,662.076654117819,4.40662664649196,39.2262234533703
0,0.1,33.4127423822715,23.6842105263158,22.3,42.404432132964,28.9473684210526,1539.26421435882,2319.5786879039,57.5216989843029,45.6140350877193,63.4755309325947,45.6140350877193,1749.08247308937,2827.2355480712,13.4772601936212,0.1,66.7465409681062,2194.52429915425,11526.5098261743,655.260084795431,2319.5786879039,-1664.31860310847,-2381.79372200631,-1664.31860310847,717.475118897842,4.40662664649196,39.2262234533703
0,0.1,33.4127423822715,23.6842105263158,33.4,42.404432132964,28.9473684210526,1557.36192662352,2445.74412077167,57.5216989843029,45.6140350877193,63.4755309325947,45.6140350877193,1805.69934378626,2970.43951377632,13.4772601936212,0.1,66.7465409681062,2316.6446028721,12169.2482667946,759.282676248582,2445.74412077167,-1686.46144452309,-2459.49425469049,-1686.46144452309,773.032810167398,4.40662664649196,39.2262234533703
0,0.1,33.4127423822715,23.6842105263158,44.5,42.404432132964,28.9473684210526,1557.36192662352,2556.74412077167,57.5216989843029,45.6140350877193,63.4755309325947,45.6140350877193,1833.83517819379,3089.51279076098,13.4772601936212,0.1,66.7465409681062,2404.03444085606,12629.1947824996,846.672514232549,2556.74412077167,-1710.07160653912,-2519.31352809871,-1710.07160653912,809.241921559587,4.40662664649196,39.2262234533703
0,0.1,33.4127423822715,23.6842105263158,55.6,42.404432132964,28.9473684210526,1557.36192662352,2667.74412077167,57.5216989843029,45.6140350877193,63.4755309325947,45.6140350877193,1836.08840316017,3200.24673351656,13.4772601936212,0.1,66.7465409681062,2471.43369597126,12983.9277041586,914.071769347744,2667.74412077167,-1753.67235142393,-2564.90144070548,-1753.67235142393,811.229089281548,4.40662664649196,39.2262234533703
0,0.1,33.4127423822715,23.6842105263158,66.7,42.404432132964,28.9473684210526,1557.36192662352,2778.74412077167,57.5216989843029,45.6140350877193,63.4755309325947,45.6140350877193,1836.08840316017,3311.24673351656,13.4772601936212,0.1,66.7465409681062,2525.63405060223,13269.1927285321,968.272123978715,2778.74412077167,-1810.47199679296,-2621.7010860745,-1810.47199679296,811.229089281548,4.40662664649196,39.2262234533703
0,0.1,33.4127423822715,23.6842105263158,77.8,42.404432132964,28.9473684210526,1557.36192662352,2889.74412077167,57.5216989843029,45.6140350877193,63.4755309325947,45.6140350877193,1836.08840316017,3422.24673351656,13.4772601936212,0.1,66.7465409681062,2570.30965130526,13504.3274690744,1012.94772468175,2889.74412077167,-1876.79639608992,-2688.02548537147,-1876.79639608992,811.229089281548,4.406626646492,39.2262234533703
0,0.1,33.4127423822715,23.6842105263158,88.9,42.404432132964,28.9473684210526,1557.36192662352,3000.74412077167,57.5216989843029,45.6140350877193,63.4755309325947,45.6140350877193,1836.08840316017,3533.24673351656,13.4772601936212,0.1,66.7465409681062,2607.62817324203,13700.7407424258,1050.26624661852,3000.74412077167,-1950.47787415315,-2761.7069634347,-1950.47787415315,811.229089281548,4.406626646492,39.2262234533703
0,0.1,33.4127423822715,23.6842105263158,100,42.404432132964,28.9473684210526,1557.36192662352,3111.74412077167,57.5216989843029,45.6140350877193,63.4755309325947,45.6140350877193,1836.08840316017,3644.24673351656,13.4772601936212,0.1,66.7465409681062,2638.90840620933,13865.3735475169,1081.54647958582,3111.74412077167,-2030.19764118585,-2841.4267304674,-2030.19764118585,811.229089281548,4.406626646492,39.2262234533703
