"M_ba","x_a_init","x_a_non","e_hat_a","x_b_init","x_b_non","e_hat_b","NPV_a_hat","NPV_b_hat","x_a_so","e_star_a","x_b_so","e_star_b","NPV_a_star","NPV_b_star","x_a_soa","e_a_star","x_b_soa","NPV_ea_star","NPV_eb_star","WTP_A","WTA_B","accept","reserve_npv_coop","reserve_npv_non","coop_npv_non","reserve_vs_non_x","reserve_vs_coop_x"
0,0.1,22.8512811634349,17.3489278752437,0.1,62.4382915540964,44.5175438596491,524.571069636164,1749.47879999197,48.3028624192059,45.6140350877193,72.6943674976916,45.6140350877193,189.912448938748,2491.05196736628,1.33226762955019e-15,0,100,106.18200599211,8316.14989496215,-418.389063644054,1749.47879999197,-2167.86786363603,-2574.78241031292,-2167.86786363603,406.914546676895,14.7104272824687,11.3161521208805
0,0.1,22.8512811634349,17.3489278752437,11.2,62.4382915540964,44.5175438596491,782.414579076817,2732.42953633878,48.3028624192059,45.6140350877193,72.6943674976916,45.6140350877193,284.102170349312,3839.64528700224,0.123946,0.1,100,169.704329915328,15414.3908167717,-612.710249161489,2732.42953633878,-3345.13978550027,-3954.04312743622,-3345.13978550027,608.903341935953,14.8343732824687,11.3161521208805
0,0.1,22.8512811634349,17.3489278752437,22.3,62.4382915540964,44.5175438596491,817.363436296654,2958.16856304006,48.3028624192059,45.6140350877193,72.6943674976916,45.6140350877193,296.992498848686,4114.70742845116,0.123946,0.1,100,159.122281691199,16781.5909468682,-658.241154605455,2958.16856304006,-3616.40971764551,-4252.57764560865,-3616.40971764551,636.16792796314,14.8343732824687,11.3161521208805
0,0.1,22.8512811634349,17.3489278752437,33.4,62.4382915540964,44.5175438596491,830.331133437782,3107.99417561348,48.3028624192059,45.6140350877193,72.6943674976916,45.6140350877193,301.335324360674,4283.36827330466,0.123946,0.1,100,141.841831340735,17614.7599892104,-688.489302097046,3107.99417561348,-3796.48347771052,-4442.8617663246,-3796.48347771052,646.378288614078,14.8343732824687,11.3161521208805
0,0.1,22.8512811634349,17.3489278752437,44.5,62.4382915540964,44.5175438596491,834.253822267037,3229.11927522191,48.3028624192059,45.6140350877193,72.6943674976916,45.6140350877193,302.591035882229,4410.23971432383,0.123946,0.1,100,121.639366414586,18214.8088446525,-712.614455852451,3229.11927522191,-3941.73373107436,-4591.19138379148,-3941.73373107436,649.457652717115,14.8343732824687,11.3161521208805
0,0.1,22.8512811634349,17.3489278752437,55.6,62.4382915540964,44.5175438596491,834.256833799021,3340.12275600937,48.3028624192059,45.6140350877193,72.6943674976916,45.6140350877193,302.643293681644,4521.62145967369,0.123946,0.1,100,99.7710203896043,18681.7253418884,-734.485813409417,3340.12275600937,-4074.60856941879,-4724.49373296573,-4074.60856941879,649.885163546943,14.8343732824687,11.3161521208805
0,0.1,22.8512811634349,17.3489278752437,66.7,62.4382915540964,44.5175438596491,834.256833799021,3451.12275600937,48.3028624192059,45.6140350877193,72.6943674976916,45.6140350877193,302.643293681644,4632.62145967369,0.123946,0.1,100,76.8168812224825,19061.6219748083,-757.439952576539,3451.12275600937,-4208.56270858591,-4858.44787213286,-4208.56270858591,649.885163546944,14.8343732824687,11.3161521208805
0,0.1,22.8512811634349,17.3489278752437,77.8,62.4382915540964,44.5175438596491,834.256833799021,3562.12275600937,48.3028624192059,45.6140350877193,72.6943674976916,45.6140350877193,302.643293681644,4743.62145967369,0.123946,0.1,100,53.0971189147579,19379.6414943742,-781.159714884264,3562.12275600937,-4343.28247089364,-4993.16763444058,-4343.28247089364,649.885163546944,14.8343732824687,11.3161521208805
0,0.1,22.8512811634349,17.3489278752437,88.9,62.4382915540964,44.5175438596491,834.256833799021,3673.12275600937,48.3028624192059,45.6140350877193,72.6943674976916,45.6140350877193,302.643293681644,4854.62145967369,0.123946,0.1,100,28.8144478699402,19650.9260433015,-805.442385929081,3673.12275600937,-4478.56514193845,-5128.4503054854,-4478.56514193845,649.885163546943,14.8343732824687,11.3161521208805
0,0.1,22.8512811634349,17.3489278752437,100,62.4382915540964,44.5175438596491,834.256833799021,3784.12275600937,48.3028624192059,45.6140350877193,72.6943674976916,45.6140350877193,302.643293681644,4965.62145967369,0,0,100,1,19881.5894155933,-833.256833799021,3784.12275600937,-4617.37958980839,-5267.26475335534,-4617.37958980839,649.885163546943,14.7104272824687,11.3161521208805
