"M_ab","x_a_init","x_a_non","e_hat_a","x_b_init","x_b_non","e_hat_b","NPV_a_hat","NPV_b_hat","x_a_so","e_star_a","x_b_so","e_star_b","NPV_a_star","NPV_b_star","x_a_soa","e_a_star","x_b_soa","NPV_ea_star","NPV_eb_star","WTP_A","WTA_B","accept","reserve_npv_coop","reserve_npv_non","coop_npv_non","reserve_vs_non_x","reserve_vs_coop_x"
0,0.1,63.2790858725762,44.5175438596491,0.1,30.5871999076639,23.6842105263158,1818.59247601489,636.82564350959,69.6214219759926,45.6140350877193,51.3758079409049,45.6140350877193,2250.12367896498,450.232879324433,14.5833333327834,0,58.3333333311337,824.489061040697,3294.95624416279,-994.103414974197,636.82564350959,-1630.92905848379,-1875.86749724871,-1630.92905848379,244.938438764928,-20.949619116323,45.3765581717451
0,0.1,63.2790858725762,44.5175438596491,11.2,30.5871999076639,23.6842105263158,2775.53565470224,1085.52277443051,69.6214219759926,45.6140350877193,51.3758079409049,45.6140350877193,3512.17839997667,768.645439282579,14.7389840602874,0.1,58.3761162411496,2145.66595581465,8660.7109491715,-629.869698887586,1085.52277443051,-1715.39247331809,-2135.1578834446,-1715.39247331809,419.765410126503,-20.751185478803,45.3765581717451
0,0.1,63.2790858725762,44.5175438596491,22.3,30.5871999076639,23.6842105263158,2902.6689544056,1226.69033029872,69.6214219759926,45.6140350877193,51.3758079409049,45.6140350877193,3747.59195559242,868.850232350178,14.7389840602879,0.1,58.3761162411518,2413.42553069079,9842.74924867603,-489.243423714815,1226.69033029872,-1715.93375401353,-2203.01665725182,-1715.93375401353,487.082903238284,-20.7511854788003,45.3765581717451
0,0.1,63.2790858725762,44.5175438596491,33.4,30.5871999076639,23.6842105263158,2909.27763663919,1338.73451609432,69.6214219759926,45.6140350877193,51.3758079409049,45.6140350877193,3868.73394755795,949.068152559077,14.7389840602881,0.1,58.3761162411524,2568.48831508662,10574.0003862594,-340.789321552565,1338.73451609432,-1679.52383764688,-2249.31378503041,-1679.52383764688,569.789947383528,-20.7511854787996,45.3765581717451
0,0.1,63.2790858725762,44.5175438596491,44.5,30.5871999076639,23.6842105263158,2909.27763663919,1449.73451609432,69.6214219759926,45.6140350877193,51.3758079409049,45.6140350877193,3930.33613557872,1031.09803755164,14.7389840602881,0.1,58.3761162411526,2673.13455179884,11103.5853331082,-236.143084840349,1449.73451609432,-1685.87760093467,-2288.29962133152,-1685.87760093466,602.422020396856,-20.7511854787993,45.3765581717451
0,0.1,63.2790858725762,44.5175438596491,55.6,30.5871999076639,23.6842105263158,2909.27763663919,1560.73451609432,69.6214219759926,45.6140350877193,51.3758079409049,45.6140350877193,3933.64255457175,1140.2569447222,14.5833333333333,0,58.3333333333333,2739.22762840918,11508.9105136367,-170.050008230003,1560.73451609432,-1730.78452432432,-2334.67187088477,-1730.78452432432,603.887346560448,-20.9496191135734,45.3765581717451
0,0.1,63.2790858725762,44.5175438596491,66.7,30.5871999076639,23.6842105263158,2909.27763663919,1671.73451609432,69.6214219759926,45.6140350877193,51.3758079409049,45.6140350877193,3933.64255457175,1251.2569447222,14.5833333333333,0,58.3333333333334,2795.2484264462,11843.9937057848,-114.029210192992,1671.73451609432,-1785.76372628731,-2389.65107284776,-1785.76372628731,603.887346560447,-20.9496191135733,45.3765581717451
0,0.1,63.2790858725762,44.5175438596491,77.8,30.5871999076639,23.6842105263158,2909.27763663919,1782.73451609432,69.6214219759926,45.6140350877193,51.3758079409049,45.6140350877193,3933.64255457175,1362.2569447222,14.5833333333334,0,58.3333333333334,2837.27333518084,12123.0933407234,-72.0043014583439,1782.73451609432,-1854.73881755266,-2458.62616411311,-1854.73881755266,603.887346560447,-20.9496191135733,45.3765581717451
0,0.1,63.2790858725762,44.5175438596491,88.9,30.5871999076639,23.6842105263158,2909.27763663919,1893.73451609432,69.6214219759926,45.6140350877193,51.3758079409049,45.6140350877193,3933.64255457175,1473.2569447222,14.5833333333334,0,58.3333333333335,2868.57154693156,12359.2861877262,-40.7060897076271,1893.73451609432,-1934.44060580194,-2538.32795236239,-1934.44060580194,603.887346560447,-20.9496191135732,45.3765581717451
0,0.1,63.2790858725762,44.5175438596491,100,30.5871999076639,23.6842105263158,2909.27763663919,2004.73451609432,69.6214219759926,45.6140350877193,51.3758079409049,45.6140350877193,3933.64255457175,1584.2569447222,14.5833333333334,0,58.3333333333335,2891.22379340695,12560.8951736278,-18.0538432322396,2004.73451609432,-2022.78835932656,-2626.675705887,-2022.78835932656,603.887346560447,-20.9496191135732,45.3765581717451
0,11.2,63.2790858725762,44.5175438596491,0.1,30.5871999076639,23.6842105263158,2836.87807838651,943.851995425081,69.6214219759926,45.6140350877193,51.3758079409049,45.6140350877193,3476.26063698391,668.648965707926,31.2562398561315,11.2,62.3228794245261,2718.50556178989,7494.82500470852,-118.372516596614,943.851995425081,-1062.2245120217,-1426.40404090194,-1062.2245120217,364.179528880244,-0.287166499582511,45.3765581717451
0,11.2,63.2790858725762,44.5175438596491,11.2,30.5871999076639,23.6842105263158,3061.0467337822,1137.66765164765,69.6214219759926,45.6140350877193,51.3758079409049,45.6140350877193,3832.60294968021,805.534744992901,31.2562398561315,11.2,62.3228794245262,3227.27198326743,9640.89069061867,166.225249485226,1137.66765164765,-971.442402162425,-1410.86571140568,-971.442402162425,439.423309243255,-0.287166499582383,45.3765581717451
