"D_ba","x_a_init","x_a_non","e_hat_a","x_b_init","x_b_non","e_hat_b","NPV_a_hat","NPV_b_hat","x_a_so","e_star_a","x_b_so","e_star_b","NPV_a_star","NPV_b_star","x_a_soa","e_a_star","x_b_soa","NPV_ea_star","NPV_eb_star","WTP_A","WTA_B","accept","reserve_npv_coop","reserve_npv_non","coop_npv_non","reserve_vs_non_x","reserve_vs_coop_x"
0,0.1,0,0,0.1,0,0,1,1,57.5216989843029,45.6140350877193,63.4755309325946,45.6140350877193,1092.5566174781,1656.10581555897,2.53677809056784e-11,0,2.53677809056724e-11,4.16207023401583,4.16061872896978,3.16207023401583,1,2.16207023401583,-2744.50036280306,2.16207023401583,2746.66243303707,5.07355618113509e-11,115.043397968606
0,0.1,0,0,11.2,0,0,1,112,57.5216989843029,45.6140350877193,63.4755309325946,45.6140350877193,1721.13634187085,2574.15388803522,0.430962380895246,0.1,0.453762975864267,352.4116299739,471.689860375619,351.4116299739,112,239.4116299739,-3942.87859993217,239.4116299739,4182.29022990607,0.884725356759512,115.043397968606
0,0.1,0,0,22.3,0,0,1,223,57.5216989843029,45.6140350877193,63.4755309325946,45.6140350877193,1843.88859515037,2791.84749236304,0.43096238142401,0.1,0.453762976389432,584.347332811023,776.868416740288,583.347332811023,223,360.347332811023,-4051.38875470238,360.347332811023,4411.73608751341,0.884725357813442,115.043397968606
0,0.1,0,0,33.4,0,0,1,334,57.5216989843029,45.6140350877193,63.4755309325946,45.6140350877193,1932.20707238226,2915.81481461838,0.430962381716443,0.1,0.453762976679875,769.341827292112,1020.28222526806,768.341827292112,334,434.341827292112,-4078.68005970853,434.341827292112,4513.02188700064,0.884725358396317,115.043397968606
0,0.1,0,0,44.5,0,0,1,445,57.5216989843029,45.6140350877193,63.4755309325946,45.6140350877193,2007.376754404,2994.34050469278,0.430962381880581,0.1,0.453762976842896,919.222359105784,1217.49345133869,918.222359105784,445,473.222359105784,-4082.49489999099,473.222359105784,4555.71725909677,0.884725358723477,115.043397968606
0,0.1,0,0,55.6,0,0,1,556,57.5216989843029,45.6140350877193,63.4755309325946,45.6140350877193,2008.82756086218,3105.99814736709,0.430962381964799,0.1,0.453762976926541,1040.60214355053,1377.20369402914,1039.60214355053,556,483.602143550527,-4074.22356467875,483.602143550527,4557.82570822928,0.88472535889134,115.043397968606
0,0.1,0,0,66.7,0,0,1,667,57.5216989843029,45.6140350877193,63.4755309325946,45.6140350877193,2008.82756086218,3216.99814736709,0.430962381990694,0.1,0.453762976952259,1136.90062608525,1503.91222368009,1135.90062608525,667,468.900626085249,-4088.92508214403,468.900626085249,4557.82570822928,0.884725358942954,115.043397968606
0,0.1,0,0,77.8,0,0,1,778,57.5216989843029,45.6140350877193,63.4755309325946,45.6140350877193,2008.82756086218,3327.99814736709,0.430962381964481,0.1,0.453762976926224,1209.1768203309,1599.01247926648,1208.1768203309,778,430.1768203309,-4127.64888789838,430.1768203309,4557.82570822928,0.884725358890705,115.043397968606
0,0.1,0,0,88.9,0,0,1,889,57.5216989843029,45.6140350877193,63.4755309325946,45.6140350877193,2008.82756086218,3438.99814736709,0.430962381879865,0.1,0.453762976842185,1256.35869515999,1661.09389351528,1255.35869515999,889,366.358695159992,-4191.46701306928,366.358695159992,4557.82570822927,0.88472535872205,115.043397968606
0,0.1,0,0,100,0,0,1,1000,57.5216989843029,45.6140350877193,63.4755309325946,45.6140350877193,2008.82756086218,3549.99814736709,0.430962381715137,0.1,0.453762976678578,1275.01088382545,1685.63624702244,1274.01088382545,1000,274.010883825448,-4283.81482440383,274.010883825448,4557.82570822927,0.884725358393716,115.043397968606
0,11.2,0,0,0.1,0,0,112,1,57.5216989843029,45.6140350877193,63.4755309325946,45.6140350877193,1720.95662933636,2573.87605639526,29.1885085799959,11.2,27.7182757249948,2927.46586980987,4893.66211186538,2815.46586980987,1,2814.46586980987,-1367.36681592175,2814.46586980987,4181.83268573162,56.9067843049907,115.043397968606
0,11.2,0,0,11.2,0,0,112,112,57.5216989843029,45.6140350877193,63.4755309325946,45.6140350877193,1857.70000339411,2803.73382628259,29.1885085799959,11.2,27.7182757249948,3140.78732557395,5174.34823787076,3028.78732557395,112,2916.78732557395,-1520.64650410275,2916.78732557395,4437.4338296767,56.9067843049907,115.043397968606
