"M_ab","x_a_init","x_a_non","e_hat_a","x_b_init","x_b_non","e_hat_b","NPV_a_hat","NPV_b_hat","x_a_so","e_star_a","x_b_so","e_star_b","NPV_a_star","NPV_b_star","x_a_soa","e_a_star","x_b_soa","NPV_ea_star","NPV_eb_star","WTP_A","WTA_B","accept","reserve_npv_coop","reserve_npv_non","coop_npv_non","reserve_vs_non_x","reserve_vs_coop_x"
0,0.1,56.3732686980609,44.5175438596491,0.1,2.96393120960295,0,949.722294834535,293.141725027064,65.0530532385959,45.6140350877193,8.27558324782955,8.27558324782955,1892.14105090554,0,0.182396472042569,0.1,0.0374414720425693,17.0997852170539,9.2085498651881,-932.622509617481,293.141725027064,-1225.76423464454,-1875.04126568848,-1225.76423464454,649.27703104394,-59.1173619635788,70.768906569528
0,0.1,56.3732686980609,44.5175438596491,11.2,2.96393120960295,0,949.722294834535,404.141725027064,65.0530532385959,45.6140350877193,8.27558324782955,8.27558324782955,2993.00674620539,0,0.18239647204257,0.1,0.0374414720425695,265.773332469684,296.401845712077,-683.948962364851,404.141725027064,-1088.09068739191,-2727.2334137357,-1088.09068739191,1639.14272634379,-59.1173619635788,70.768906569528
0,0.1,56.3732686980609,44.5175438596491,22.3,2.96393120960295,0,949.722294834535,515.141725027063,65.0530532385959,45.6140350877193,8.27558324782955,8.27558324782955,3278.37211740829,0,0.18239647204257,0.1,0.0374414720425696,472.503780106464,540.017895204835,-477.218514728071,515.141725027063,-992.360239755134,-2805.86833730182,-992.360239755134,1813.50809754669,-59.1173619635788,70.768906569528
0,0.1,56.3732686980609,44.5175438596491,33.4,2.96393120960295,0,949.722294834535,626.141725027063,65.0530532385959,45.6140350877193,8.27558324782955,8.27558324782955,3475.83674775513,0,0.18239647204257,0.1,0.0374414720425697,645.623415257818,748.713620037411,-304.098879576717,626.141725027063,-930.24060460378,-2830.21333249731,-930.24060460378,1899.97272789353,-59.1173619635788,70.768906569528
0,0.1,56.3732686980609,44.5175438596491,44.5,2.96393120960295,0,949.722294834535,737.141725027063,65.0530532385959,45.6140350877193,8.27558324782955,8.27558324782955,3631.65243452425,0,0.18239647204257,0.1,0.0374414720425698,790.602469212164,928.172377392575,-159.119825622371,737.141725027063,-896.261550649435,-2841.04996531209,-896.261550649435,1944.78841466265,-59.1173619635788,70.768906569528
0,0.1,56.3732686980609,44.5175438596491,55.6,2.96393120960295,0,949.722294834535,848.141725027063,65.0530532385959,45.6140350877193,8.27558324782955,8.27558324782955,3645.35139220079,99.8596491228071,0.18239647204257,0.1,0.0374414720425698,910.984588499286,1082.07587795062,-38.7377063352487,848.141725027063,-886.879431362312,-2834.22645282431,-886.879431362312,1947.347021462,-59.1173619635788,70.768906569528
0,0.1,56.3732686980609,44.5175438596491,66.7,2.96393120960295,0,949.722294834535,959.141725027063,65.0530532385959,45.6140350877193,8.27558324782955,8.27558324782955,3645.35139220079,210.859649122807,0.18239647204257,0.1,0.0374414720425698,1008.88301994434,1212.61970282861,59.1607251098095,959.141725027063,-899.980999917254,-2847.32802137925,-899.980999917254,1947.347021462,-59.1173619635788,70.768906569528
0,0.1,56.3732686980609,44.5175438596491,77.8,2.96393120960295,0,949.722294834535,1070.14172502706,65.0530532385959,45.6140350877193,8.27558324782955,8.27558324782955,3645.35139220079,321.859649122807,0.18239647204257,0.1,0.0374414720425698,1085.23521209137,1320.7778245398,135.512917256837,1070.14172502706,-934.628807770228,-2881.97582923222,-934.628807770227,1947.347021462,-59.1173619635788,70.768906569528
0,0.1,56.3732686980609,44.5175438596491,88.9,2.96393120960295,0,949.722294834535,1181.14172502706,65.0530532385959,45.6140350877193,8.27558324782955,8.27558324782955,3645.35139220079,432.859649122807,0.18239647204257,0.1,0.0374414720425698,1139.90578890202,1406.40959265477,190.183494067487,1181.14172502706,-990.958230959577,-2938.30525242157,-990.958230959578,1947.347021462,-59.1173619635788,70.768906569528
0,0.1,56.3732686980609,44.5175438596491,100,2.96393120960295,0,949.722294834535,1292.14172502706,65.0530532385959,45.6140350877193,8.27558324782955,8.27558324782955,3645.35139220079,543.859649122807,0.18239647204257,0.1,0.0374414720425698,1171.6720601359,1468.24467965101,221.949765301369,1292.14172502706,-1070.1919597257,-3017.53898118769,-1070.1919597257,1947.347021462,-59.1173619635788,70.768906569528
