"D_ba","x_a_init","x_a_non","e_hat_a","x_b_init","x_b_non","e_hat_b","NPV_a_hat","NPV_b_hat","x_a_so","e_star_a","x_b_so","e_star_b","NPV_a_star","NPV_b_star","x_a_soa","e_a_star","x_b_soa","NPV_ea_star","NPV_eb_star","WTP_A","WTA_B","accept","reserve_npv_coop","reserve_npv_non","coop_npv_non","reserve_vs_non_x","reserve_vs_coop_x"
0,0.1,3.7280701754386,0,0.1,47.5819482917821,37.280701754386,362.36023952229,868.974676689965,36.7543264247959,36.7543264247959,74.4459266585824,45.6140350877193,0,2525.96777253288,8.4388896414551,0.1,83.469016414551,772.917359815386,8157.09824747408,410.557120293095,868.974676689965,-458.417556396869,-1753.05041271749,-458.417556396869,1294.63285632063,40.5978875887854,22.198634382371
0,0.1,3.7280701754386,0,11.2,47.5819482917821,37.280701754386,643.004913095109,1607.75959872303,36.7543301085238,36.7543301085238,74.4459281074617,45.6140350877193,0,3946.43729762649,8.4388896414551,0.1,83.469016414551,1258.24790080657,13265.8407842234,615.242987711458,1607.75959872303,-992.516611011571,-2688.18939681993,-992.516611011572,1695.67278580836,40.5978875887854,22.1986417498268
0,0.1,3.7280701754386,0,22.3,47.5819482917821,37.280701754386,684.537203301505,1779.92549432787,36.7543303106999,36.7543303106999,74.4459281869813,45.6140350877193,0,4256.78536951719,8.4388896414551,0.1,83.469016414551,1364.81070120363,14387.5544726135,680.27349790213,1779.92549432787,-1099.65199642574,-2891.97466831355,-1099.65199642574,1792.32267188781,40.5978875887854,22.198642154179
0,0.1,3.7280701754386,0,33.4,47.5819482917821,37.280701754386,701.232236984838,1905.37364710723,36.7543303961618,36.7543303961618,74.4459282205951,45.6140350877193,0,4452.50913538878,8.4388896414551,0.1,83.469016414551,1429.3524054934,15066.9408335585,728.120168508563,1905.37364710723,-1177.25347859866,-3023.15672989538,-1177.25347859866,1845.90325129671,40.5978875887854,22.1986423251029
0,0.1,3.7280701754386,0,44.5,47.5819482917821,37.280701754386,704.918903651505,2017.2320583353,36.754330432888,36.754330432888,74.4459282350402,45.6140350877193,0,4596.62177254545,8.4388896414551,0.1,83.469016414551,1475.53065605088,15553.0276815319,770.611752399371,2017.2320583353,-1246.62030593593,-3121.09111649458,-1246.62030593593,1874.47081055865,40.5978875887854,22.1986423985553
0,0.1,3.7280701754386,0,55.6,47.5819482917821,37.280701754386,704.918903651505,2128.2320583353,36.754330435883,36.754330435883,74.4459282362182,45.6140350877193,0,4709.7610600827,8.4388896414551,0.1,83.469016414551,1511.20346580839,15928.5309421373,806.284562156883,2128.2320583353,-1321.94749617842,-3198.55759427431,-1321.94749617842,1876.6100980959,40.5978875887854,22.1986424045453
0,0.1,3.7280701754386,0,66.7,47.5819482917821,37.280701754386,704.918903651505,2239.2320583353,36.754330435883,36.754330435883,74.4459282362182,45.6140350877193,0,4820.7610600827,8.33333333333333,0,83.3333333333333,1540.14300105009,16206.698720896,835.224097398584,2239.2320583353,-1404.00796093672,-3280.61805903261,-1404.00796093672,1876.61009809589,40.356648199446,22.1986424045453
0,0.1,3.7280701754386,0,77.8,47.5819482917821,37.280701754386,704.918903651505,2350.2320583353,36.754330435883,36.754330435883,74.4459282362182,45.6140350877193,0,4931.7610600827,8.33333333333333,0,83.3333333333333,1564.02322490638,16458.0694983306,859.104321254873,2350.2320583353,-1491.12773708043,-3367.73783517632,-1491.12773708043,1876.61009809589,40.356648199446,22.1986424045453
0,0.1,3.7280701754386,0,88.9,47.5819482917821,37.280701754386,704.918903651505,2461.2320583353,36.754330435883,36.754330435883,74.4459282362182,45.6140350877193,0,5042.7610600827,8.33333333333334,0,83.3333333333334,1584.13390581964,16669.7608763649,879.215002168134,2461.2320583353,-1582.01705616717,-3458.62715426306,-1582.01705616717,1876.61009809589,40.356648199446,22.1986424045453
0,0.1,3.7280701754386,0,100,47.5819482917821,37.280701754386,704.918903651505,2572.2320583353,36.754330435883,36.754330435883,74.4459282362182,45.6140350877193,0,5153.7610600827,8.33333333333334,0,83.3333333333334,1601.21134140324,16849.5233561923,896.292437751736,2572.2320583353,-1675.93962058356,-3552.54971867946,-1675.93962058356,1876.61009809589,40.356648199446,22.1986424045453
