species,family,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,Class,pred_50,pred_05,pred_95,pred_25,pred_75,observed_homerange,predicted_homerange,predicted_pld,observed_pld,home_range,pld,magnitude_homerange,month_pld,class,class2,class3,spec_code,genus,order,ocean,basin,food_i,food_mode,temp_min,temp_max,climate,body_shape_i,temp_cons,sp_richness,circadian,dev_place,longevity_wild,temp_preferred,fecundity_mean,oxygen_cons,temp_range,iucn_category,fb_name
Epinephelus chlorostigma,Serranidae,13235000,habitat_coastal,reef-associated,80,NA,363.1224698502327,0.314979131,4.005355038693479,Actinopteri,5.55,5.55,91381.99999999996,0.027348309,23.228980814668287,NA,1.2015608999379015,39.15809811111116,NA,1.2015608999379015,39.15809811111116,0,2,4,5: mid/mid,5,5524,Epinephelus,Perciformes/Serranoidei,"Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,NA,NA,"subtropical, temperate, tropical",fusiform / normal,NA,566,NA,planktonic,29,28,2885045.223853211,194.93333333333337,5.130434782608695,LC,Brownspotted grouper
Epinephelus fuscoguttatus,Serranidae,9805000,habitat_reef,reef-associated,120,NA,144.58381318848194,0.269601411,4.145442142684625,Actinopteri,0.027348309,0.027348309,24.515918583273656,0.0013065,0.1667025323427201,NA,0.015124249,33.86027260000002,NA,0.015124249,33.86027260000002,-2,2,2,2: low/mid,2,4460,Epinephelus,Perciformes/Serranoidei,"Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,NA,NA,"subtropical, temperate, tropical",fusiform / normal,NA,566,NA,planktonic,40,27,2885045.223853211,194.93333333333337,5.130434782608695,VU,Brown-marbled grouper
Epinephelus goreensis,Serranidae,562500,habitat_benthic,demersal,140,NA,641.958191,0.286760108,3.958659337363097,Actinopteri,0.022602017,0.022602017,69.37218462755803,0.003297,0.26336558780891256,NA,0.030153982,49.41437008333332,NA,0.030153982,49.41437008333332,-2,2,2,2: low/mid,2,4961,Epinephelus,Perciformes/Serranoidei,Atlantic,East,"nekton, zoobenthos",generalist,NA,NA,"subtropical, tropical",fusiform / normal,NA,566,NA,planktonic,30.545454545454547,27,2885045.223853211,194.93333333333337,5.130434782608695,NT,Dungat grouper
Epinephelus marginatus,Serranidae,2530000,territorial,reef-associated,150,dusky grouper,43372.701856460466,0.110074674,4.43,Actinopteri,0.048,0.048,28773.00000000001,0.0034,1.7793460877524645,0.005312,0.07102899,38.60000998333331,24.6,0.005312,24.6,-3,1,5,1: mid/low,1,6470,Epinephelus,Perciformes/Serranoidei,"Atlantic, Indian Ocean, Mediterranean and Black Sea",Both,"nekton, zoobenthos",generalist,NA,NA,"subtropical, temperate, tropical",fusiform / normal,NA,566,NA,planktonic,60,26,2885045.223853211,194.93333333333337,5.130434782608695,VU,Dusky grouper
Epinephelus merra,Serranidae,9600000,habitat_reef,reef-associated,36.5,NA,15891.938161673068,0.431465308,3.82,Actinopteri,0.22200604639980337,0.22200604639980337,8.5,0.014020895,0.4193772781428161,NA,0.062838539,29.92500375396823,34.3,0.062838539,34.3,-2,2,2,2: low/mid,2,4923,Epinephelus,Perciformes/Serranoidei,"Atlantic, Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,NA,NA,"subtropical, temperate, tropical",fusiform / normal,NA,566,NA,planktonic,30.545454545454547,27.11764705882353,2885045.223853211,194.93333333333337,5.130434782608695,LC,Honeycomb grouper
Epinephelus morio,Serranidae,3007500,habitat_benthic,reef-associated,125,red grouper,44841.13184234522,0.214918572,3.5,Actinopteri,0.027348309,0.027348309,42.102493055442615,0.0034,0.21833765948249895,2.09,0.036189094,53.75060190238093,40,2.09,40,0,2,4,5: mid/mid,5,17,Epinephelus,Perciformes/Serranoidei,Atlantic,West,"nekton, zoobenthos",generalist,NA,NA,"subtropical, tropical",fusiform / normal,NA,566,NA,planktonic,25,26,2885045.223853211,194.93333333333337,5.130434782608695,VU,Red grouper
Epinephelus morrhua,Serranidae,9242500,habitat_reef,reef-associated,90,NA,204.50170432792785,0.270980627,3.9866767581613263,Actinopteri,0.14583699999999997,0.14583699999999997,23.228980814668287,0.021204,4.17,NA,0.1095072107591306,34.67757052777781,NA,0.1095072107591306,34.67757052777781,-1,2,4,5: mid/mid,5,5353,Epinephelus,Perciformes/Serranoidei,"Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,NA,NA,"subtropical, temperate, tropical",fusiform / normal,NA,566,NA,planktonic,30.545454545454547,28,2885045.223853211,194.93333333333337,5.130434782608695,LC,Comet grouper
Epinephelus multinotatus,Serranidae,615000,habitat_reef,reef-associated,100,NA,3257.8734626243277,0.272952283,3.883946215234485,Actinopteri,0.025016,0.025016,7.849166287349195,0.004257833,0.040637322,NA,0.047685041,37.34714183888891,NA,0.047685041,37.34714183888891,-2,2,2,2: low/mid,2,7354,Epinephelus,Perciformes/Serranoidei,"Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,NA,NA,"subtropical, tropical",fusiform / normal,NA,566,NA,planktonic,30.545454545454547,28,2885045.223853211,194.93333333333337,5.130434782608695,LC,White-blotched grouper
Epinephelus polylepis,Serranidae,1007500,habitat_benthic,demersal,61,NA,2055.955937180372,0.281408755,3.89,Actinopteri,0.027348309,0.027348309,8.5,0.0034,0.21833765948249895,NA,0.046210771,52.87685851,NA,0.046210771,52.87685851,-2,2,2,2: low/mid,2,7358,Epinephelus,Perciformes/Serranoidei,"Indian Ocean, Pacific",West,NA,specialist,NA,NA,"subtropical, tropical",fusiform / normal,NA,566,NA,planktonic,30.545454545454547,27.11764705882353,2885045.223853211,194.93333333333337,5.130434782608695,LC,Smallscaled grouper
Epinephelus striatus,Serranidae,2580000,habitat_reef,reef-associated,122,nassau grouper,2316.178742948387,0.263107501,4.06,Actinopteri,0.029410133,0.029410133,69.37218462755803,0.004257833,0.14583699999999997,0.018305,0.041598866,39.21400964444447,42,0.018305,42,-2,2,2,2: low/mid,2,18,Epinephelus,Perciformes/Serranoidei,Atlantic,West,"nekton, plants, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, tropical",fusiform / normal,NA,566,diurnal,planktonic,29,26,2885045.223853211,194.93333333333337,5.130434782608695,CR,Nassau grouper
